状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<FTYPE>,<Program>,<S>,<call>,<if语句>,<relop>,<relop和加法表达式>,<return语句>,<while语句>,<下标数组>,<中括号和数字>,<乘除因子>,<内部变量声明>,<内部声明>,<函数声明>,<加减项>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参>,<实参列表>,<形参>,<数组声明>,<表达式>,<表达式循环>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<逗号和表达式>,<项>,
109,r62, , ,r62,r62, ,r62,r62, ,r62,r62, ,r62,r62,r62, , ,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
110, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , ,78, , , ,80, , , , , , , ,152, , , , , , , ,79,
111,r66,s155, ,r66,r66, ,r66,r66, ,r66,r66, ,r66,r66,r66, , ,r66, , , , , , , , , , , ,153, , ,154, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
112, , , , , , , , ,s156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
113, , , , , , , , , , , , , , , , , ,s157, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
114, , , , , , , , , , , , , , , , , , , , , , , , , , ,s159, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,158, , , , ,
115, , ,r45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
116, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , ,160, , , ,80, , , , , , , , , , , , , , , ,79,
117,r54, ,r54, , , , , , ,r54,r54, ,r54,r54,r54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
118, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , , , , , ,80, , , , , , , , , , , , , , , ,161,
119, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , , , , , ,80, , , , , , , , , , , , , , , ,162,
120,r58, ,r58, ,r58, ,r58, , ,r58,r58, ,r58,r58,r58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
121, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , , , , , ,163, , , , , , , , , , , , , , , , ,
122, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , , , , , ,164, , , , , , , , , , , , , , , , ,
123, , ,s165, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
124,r64, ,r64,r64,r64, ,r64,r64, ,r64,r64, ,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
125,r65, ,r65,r65,r65, ,r65,r65, ,r65,r65, ,r65,r65,r65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
126, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , ,136, , , ,138, , , , ,166, , ,135, , , , , , , ,137,
127, , , , , , , , , , , , , , , , , , , , , , , , , , ,s168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,167, , , , ,
128,s93, , , , , , , ,r46,s88,s89, ,s92,s90,s91, , , , , , , , , , , , , , , , , , , ,87,169, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
129,r57, , , ,s95, ,s96, ,r57,r57,r57, ,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,170, , , , , , , , , , , , , , , , , , , , , ,
130,r57, , , ,s95, ,s96, ,r57,r57,r57, ,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,171, , , , , , , , , , , , , , , , , , , , , ,
131,r61, , ,s98,r61, ,r61,s99,r61,r61,r61, ,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , ,172, , , , , , , , , , , , , , , , , , , , , , , , , ,
132,r61, , ,s98,r61, ,r61,s99,r61,r61,r61, ,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , ,173, , , , , , , , , , , , , , , , , , , , , , , , , ,
133,r63, , ,r63,r63, ,r63,r63,r63,r63,r63, ,r63,r63,r63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
134, , ,s174, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
135, , ,r72, , ,s176, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,175, ,
136,s93, ,r46, , ,r46, , , ,s88,s89, ,s92,s90,s91, , , , , , , , , , , , , , , , , , , ,178,177, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
137,r57, ,r57, ,s180,r57,s181, , ,r57,r57, ,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,179, , , , , , , , , , , , , , , , , , , , , ,
138,r61, ,r61,s183,r61,r61,r61,s184, ,r61,r61, ,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , ,182, , , , , , , , , , , , , , , , , , , , , , , , , ,
139,r62, ,r62,r62,r62,r62,r62,r62, ,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
140, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , ,78, , , ,80, , , , , , , ,185, , , , , , , ,79,
141,r66,s188,r66,r66,r66,r66,r66,r66, ,r66,r66, ,r66,r66,r66, , , , , , , , , , , , , , ,186, , ,187, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
